Report Date/Time: 01/12/2017 04:46 PM,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 1,
,,,,,"2017 January Voter Registration - January 1, 2017",,,,,,
,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,,
,,,,,ACTIVE,,,,,,
,County,Precincts,Date/Period,Democratic,,Green,Libertarian,Republican,Other,TOTAL,
,Apache,45,P.E. 2016,"27,114",,42,145,"8,070","12,277","47,648",
,Apache,45,G.E. 2016,"27,638",,53,160,"8,241","12,148","48,240",
,Apache,45,17-Jan,"28,363",,55,162,"8,534","12,361","49,475",
,Cochise,49,P.E. 2016,"19,546",,129,471,"27,359","25,168","72,673",
,Cochise,49,G.E. 2016,"20,121",,147,560,"28,296","26,033","75,157",
,Cochise,49,17-Jan,"20,344",,154,578,"28,757","26,457","76,290",
,Coconino,71,P.E. 2016,"29,454",,231,722,"18,892","23,410","72,709",
,Coconino,71,G.E. 2016,"32,404",,292,866,"20,490","27,409","81,461",
,Coconino,71,17-Jan,"32,642",,307,864,"20,852","27,388","82,053",
,Gila,39,P.E. 2016,"8,861",,26,161,"11,559","7,686","28,293",
,Gila,39,G.E. 2016,"9,083",,34,178,"12,250","8,021","29,566",
,Gila,39,17-Jan,"9,256",,32,188,"12,483","8,200","30,159",
,Graham,22,P.E. 2016,"5,331",,9,61,"7,574","4,085","17,060",
,Graham,22,G.E. 2016,"5,449",,12,77,"7,961","4,307","17,806",
,Graham,22,17-Jan,"5,562",,13,79,"8,196","4,372","18,222",
,Greenlee,8,P.E. 2016,"2,007",,0,27,"1,264","1,242","4,540",
,Greenlee,8,G.E. 2016,"2,038",,2,30,"1,328","1,304","4,702",
,Greenlee,8,17-Jan,"2,033",,2,32,"1,372","1,313","4,752",
,La Paz,11,P.E. 2016,"2,062",,10,31,"3,285","3,158","8,546",
,La Paz,11,G.E. 2016,"2,138",,12,34,"3,420","3,280","8,884",
,La Paz,11,17-Jan,"2,179",,13,34,"3,549","3,322","9,097",
,Maricopa,724,P.E. 2016,"575,701",,"2,817","17,400","738,269","722,271","2,056,458",
,Maricopa,724,G.E. 2016,"617,685",,"3,697","20,654","767,484","752,196","2,161,716",
,Maricopa,724,17-Jan,"627,544",,"3,917","21,189","779,421","767,847","2,199,918",
,Mohave,24,P.E. 2016,"19,754",,113,614,"47,268","41,867","109,616",
,Mohave,24,G.E. 2016,"20,557",,141,726,"50,390","43,525","115,339",
,Mohave,24,17-Jan,"21,041",,153,766,"51,979","44,778","118,717",
,Navajo,14,P.E. 2016,"24,336",,51,386,"19,814","17,164","61,751",
,Navajo,14,G.E. 2016,"25,196",,63,422,"20,789","17,473","63,943",
,Navajo,14,17-Jan,"25,362",,66,423,"20,751","17,318","63,920",
,Pima,248,P.E. 2016,"191,766",,"1,562","3,821","155,376","156,785","509,310",
,Pima,248,G.E. 2016,"206,856",,"1,773","4,379","163,482","167,780","544,270",
,Pima,248,17-Jan,"207,159",,"1,764","4,463","164,379","166,385","544,150",
,Pinal,102,P.E. 2016,"48,026",,199,"1,265","61,240","67,744","178,474",
,Pinal,102,G.E. 2016,"51,049",,256,"1,500","65,453","71,204","189,462",
,Pinal,102,17-Jan,"52,600",,281,"1,572","67,472","74,336","196,261",
,Santa Cruz,24,P.E. 2016,"12,568",,36,131,"4,079","8,364","25,178",
,Santa Cruz,24,G.E. 2016,"13,352",,43,146,"4,206","8,529","26,276",
,Santa Cruz,24,17-Jan,"13,463",,45,149,"4,235","8,526","26,418",
,Yavapai,45,P.E. 2016,"27,184",,244,951,"58,732","43,224","130,335",
,Yavapai,45,G.E. 2016,"28,624",,302,"1,096","61,907","45,461","137,390",
,Yavapai,45,17-Jan,"28,951",,325,"1,140","63,161","46,178","139,755",
,Yuma,44,P.E. 2016,"25,340",,43,467,"22,242","29,928","78,020",
,Yuma,44,G.E. 2016,"29,133",,67,530,"23,917","30,607","84,254",
,Yuma,44,17-Jan,"30,015",,71,552,"24,815","31,482","86,935",
,TOTALS:,"1,470",P.E. 2016,"1,019,050",,"5,512","26,653","1,185,023","1,164,373","3,400,611",
,,"1,470",G.E. 2016,"1,091,323",,"6,894","31,358","1,239,614","1,219,277","3,588,466",
,,"1,470",17-Jan,"1,106,514",,"7,198","32,191","1,259,956","1,240,263","3,646,122",
,PERCENTAGES:,,P.E. 2016,29.97,,0.16,0.78,34.85,34.24,,
,,,G.E. 2016,30.41,,0.19,0.87,34.54,33.98,,
,,,17-Jan,30.35,,0.2,0.88,34.56,34.02,,
Report Date/Time: 01/12/2017 04:46 PM,,,,,,STATE OF ARIZONA REGISTRATION REPORT,,,,,Page Number 2
,,,,,,"2017 January Voter Registration - January 1, 2017",,,,,
,,,,,,Compiled and Issued by the Arizona Secretary of State,,,,,
,,,,,,ACTIVE,,,,,
,Congressional,,,Precincts,Democratic,,Green,Libertarian,Republican,Other,TOTAL
,,Congressional District 1,,,,,,,,,
,,,Apache,45,"28,363",,55,162,"8,534","12,361","49,475"
,,,Coconino,71,"32,642",,307,864,"20,852","27,388","82,053"
,,,Gila,22,"6,090",,10,57,"2,890","3,463","12,510"
,,,Graham,22,"5,562",,13,79,"8,196","4,372","18,222"
,,,Greenlee,8,"2,033",,2,32,"1,372","1,313","4,752"
,,,Maricopa,3,563,,0,6,78,507,"1,154"
,,,Mohave,2,281,,0,2,117,378,778
,,,Navajo,14,"25,362",,66,423,"20,751","17,318","63,920"
,,,Pima,26,"17,671",,98,442,"28,176","19,805","66,192"
,,,Pinal,60,"33,304",,150,733,"32,790","39,084","106,061"
,,,Yavapai,7,"5,438",,65,162,"6,858","7,274","19,797"
,,,TOTALS,280,"157,309",,766,"2,962","130,614","133,263","424,914"
,,Congressional District 2,,,,,,,,,
,,,Cochise,49,"20,344",,154,578,"28,757","26,457","76,290"
,,,Pima,145,"121,620",,"1,098","2,909","111,263","102,630","339,520"
,,,TOTALS,194,"141,964",,"1,252","3,487","140,020","129,087","415,810"
,,Congressional District 3,,,,,,,,,
