STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
"2019 January Voter Registration - January 01, 2019",,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,
,,,,,,,,,,,,,,,,
Apache,44,,P.E. 2018,,,"27,385",,,46,147,"8,554",,"12,229",,"48,361",
Apache,44,,G.E. 2018,,,"28,223",,,47,154,"8,960",,"12,416",,"49,800",
Apache,44,,Jan-19,,,"28,791",,,50,153,"9,236",,"12,592",,"50,822",
,,,,,,,,,,,,,,,,
Cochise,49,,P.E. 2018,,,"18,589",,,114,558,"26,979",,"23,202",,"69,442",
Cochise,49,,G.E. 2018,,,"18,963",,,110,542,"27,590",,"23,649",,"70,854",
Cochise,49,,Jan-19,,,"19,025",,,113,544,"27,850",,"23,603",,"71,135",
,,,,,,,,,,,,,,,,
Coconino,71,,P.E. 2018,,,"30,512",,,249,742,"19,635",,"24,445",,"75,583",
Coconino,71,,G.E. 2018,,,"33,996",,,279,794,"21,123",,"27,047",,"83,239",
Coconino,71,,Jan-19,,,"34,884",,,289,826,"21,722",,"27,505",,"85,226",
,,,,,,,,,,,,,,,,
Gila,39,,P.E. 2018,,,"8,662",,,29,175,"12,298",,"7,722",,"28,886",
Gila,39,,G.E. 2018,,,"8,693",,,27,179,"12,881",,"7,993",,"29,773",
Gila,39,,Jan-19,,,"8,693",,,27,173,"13,073",,"7,968",,"29,934",
,,,,,,,,,,,,,,,,
Graham,22,,P.E. 2018,,,"5,076",,,9,82,"8,066",,"4,152",,"17,385",
Graham,22,,G.E. 2018,,,"5,164",,,11,91,"8,330",,"4,310",,"17,906",
Graham,22,,Jan-19,,,"5,242",,,12,91,"8,444",,"4,374",,"18,163",
,,,,,,,,,,,,,,,,
Greenlee,8,,P.E. 2018,,,"1,857",,,3,32,"1,345",,"1,248",,"4,485",
Greenlee,8,,G.E. 2018,,,"1,857",,,4,32,"1,369",,"1,273",,"4,535",
Greenlee,8,,Jan-19,,,"1,851",,,4,33,"1,417",,"1,279",,"4,584",
,,,,,,,,,,,,,,,,
La Paz,11,,P.E. 2018,,,"2,231",,,12,38,"3,908",,"3,625",,"9,814",
La Paz,11,,G.E. 2018,,,"2,272",,,13,39,"4,025",,"3,699",,"10,048",
La Paz,11,,Jan-19,,,"2,283",,,13,39,"4,103",,"3,716",,"10,154",
,,,,,,,,,,,,,,,,
Maricopa,743,,P.E. 2018,,,"649,268",,,"3,736","20,949","790,246",,"765,519",,"2,229,718",
Maricopa,743,,G.E. 2018,,,"666,835",,,"3,605","20,970","796,075",,"767,111",,"2,254,596",
Maricopa,743,,Jan-19,,,"681,486",,,"3,698","21,525","810,924",,"781,165",,"2,298,798",
,,,,,,,,,,,,,,,,
Mohave,24,,P.E. 2018,,,"20,191",,,139,710,"54,594",,"43,205",,"118,839",
Mohave,24,,G.E. 2018,,,"19,660",,,136,679,"54,932",,"40,939",,"116,346",
Mohave,24,,Jan-19,,,"19,848",,,135,694,"56,157",,"41,852",,"118,686",
,,,,,,,,,,,,,,,,
Navajo,14,,P.E. 2018,,,"24,136",,,77,400,"20,587",,"16,958",,"62,158",
Navajo,14,,G.E. 2018,,,"24,459",,,79,387,"21,103",,"17,006",,"63,034",
Navajo,14,,Jan-19,,,"24,817",,,81,394,"21,601",,"17,233",,"64,126",
,,,,,,,,,,,,,,,,
Pima,248,,P.E. 2018,,,"200,943",,,"1,485","4,100","157,706",,"160,746",,"524,980",
Pima,249,,G.E. 2018,,,"214,319",,,"1,485","4,360","165,240",,"172,128",,"557,532",
Pima,249,,Jan-19,,,"214,887",,,"1,487","4,434","166,383",,"172,477",,"559,668",
,,,,,,,,,,,,,,,,
Pinal,102,,P.E. 2018,,,"51,623",,,272,"1,493","68,286",,"71,472",,"193,146",
Pinal,102,,G.E. 2018,,,"54,115",,,287,"1,581","71,998",,"74,098",,"202,079",
Pinal,102,,Jan-19,,,"55,370",,,305,"1,630","74,059",,"75,567",,"206,931",
,,,,,,,,,,,,,,,,
Santa Cruz,24,,P.E. 2018,,,"14,189",,,67,152,"4,614",,"8,742",,"27,764",
Santa Cruz,24,,G.E. 2018,,,"14,242",,,48,148,"4,571",,"9,229",,"28,238",
Santa Cruz,24,,Jan-19,,,"14,373",,,50,154,"4,645",,"9,365",,"28,587",
,,,,,,,,,,,,,,,,
Yavapai,45,,P.E. 2018,,,"27,846",,,273,"1,041","63,229",,"44,081",,"136,470",
Yavapai,45,,G.E. 2018,,,"29,003",,,272,"1,057","65,421",,"44,971",,"140,724",
Yavapai,45,,Jan-19,,,"29,859",,,280,"1,094","67,484",,"46,321",,"145,038",
,,,,,,,,,,,,,,,,
Yuma,44,,P.E. 2018,,,"29,072",,,58,558,"24,248",,"31,370",,"85,306",
Yuma,44,,G.E. 2018,,,"29,944",,,60,570,"24,714",,"32,169",,"87,457",
Yuma,44,,Jan-19,,,"30,807",,,66,590,"25,925",,"32,978",,"90,366",
,,,,,,,,,,,,,,,,
Totals:,"1,488",,P.E. 2018,,,"1,111,580",,,"6,569","31,177","1,264,295",,"1,218,716",,"3,632,337",
,"1,489",,G.E. 2018,,,"1,151,745",,,"6,463","31,583","1,288,332",,"1,238,038",,"3,716,161",
,"1,489",,Jan-19,,,"1,172,216",,,"6,610","32,374","1,313,023",,"1,257,995",,"3,782,218",
,,,,,,,,,,,,,,,,
Percentages:,,,P.E. 2018,,,30.6,,,0.18,0.86,34.81,,33.55,,,
,,,G.E. 2018,,,30.99,,,0.17,0.85,34.67,,33.31,,,
,,,Jan-19,,,30.99,,,0.17,0.86,34.72,,33.26,,,
,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,
District,,,,Precincts,Democratic,,,Green,,Libertarian,,Republican,,Other,,Total
,,,,,,,,,,,,,,,,
Congressional District 1,,,,,,,,,,,,,,,,
Apache,,,,44,"28,791",,,50,,153,,"9,236",,"12,592",,"50,822"
Coconino,,,,71,"34,884",,,289,,826,,"21,722",,"27,505",,"85,226"
Gila,,,,22,"5,595",,,6,,54,,"3,032",,"3,278",,"11,965"
Graham,,,,22,"5,242",,,12,,91,,"8,444",,"4,374",,"18,163"
Greenlee,,,,8,"1,851",,,4,,33,,"1,417",,"1,279",,"4,584"
Maricopa,,,,3,635,,,1,,8,,81,,540,,"1,265"
Mohave,,,,2,283,,,0,,3,,120,,368,,774
Navajo,,,,14,"24,817",,,81,,394,,"21,601",,"17,233",,"64,126"
Pima,,,,26,"19,137",,,85,,464,,"29,418",,"21,099",,"70,203"
Pinal,,,,60,"34,538",,,141,,748,,"35,147",,"39,680",,"110,254"
Yavapai,,,,7,"5,615",,,56,,158,,"7,098",,"7,210",,"20,137"
Total:,,,,279,"161,388",,,725,,"2,932",,"137,316",,"135,158",,"437,519"
,,,,,,,,,,,,,,,,
Congressional District 2,,,,,,,,,,,,,,,,
Cochise,,,,49,"19,025",,,113,,544,,"27,850",,"23,603",,"71,135"
Pima,,,,146,"126,316",,,903,,"2,912",,"111,311",,"105,354",,"346,796"
Total:,,,,195,"145,341",,,"1,016",,"3,456",,"139,161",,"128,957",,"417,931"
,,,,,,,,,,,,,,,,
Congressional District 3,,,,,,,,,,,,,,,,
Maricopa,,,,47,"42,725",,,162,,992,,"29,355",,"44,326",,"117,560"
Pima,,,,77,"69,434",,,499,,"1,058",,"25,654",,"46,024",,"142,669"
Pinal,,,,1,158,,,0,,0,,11,,85,,254
Santa Cruz,,,,24,"14,373",,,50,,154,,"4,645",,"9,365",,"28,587"
Yuma,,,,29,"23,461",,,53,,334,,"11,217",,"21,174",,"56,239"
Total:,,,,178,"150,151",,,764,,"2,538",,"70,882",,"120,974",,"345,309"
,,,,,,,,,,,,,,,,
Congressional District 4,,,,,,,,,,,,,,,,
Gila,,,,17,"3,098",,,21,,119,,"10,041",,"4,690",,"17,969"
La Paz,,,,11,"2,283",,,13,,39,,"4,103",,"3,716",,"10,154"
Maricopa,,,,18,"6,304",,,44,,265,,"15,330",,"10,508",,"32,451"
