STATE OF ARIZONA REGISTRATION REPORT,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Page: 1
"2020 January Voter Registration - January 02, 2020",,,,,,,,,,,,,,,,,,
Compiled and Issued by the Arizona Secretary of State,,,,,,,,,,,,,,,,,,
Active,,,,,,,,,,,,,,,,,,
County,Precincts,,Date/Period,,,Democratic,,,Green,Libertarian,Republican,,Other,,Total,,,
,,,,,,,,,,,,,,,,,,
Apache,44,,Jul-19,,,"28,525",,,53,157,"9,295",,"12,533",,"50,563",,,
Apache,44,,Oct-19,,,"28,704",,,54,154,"9,481",,"12,660",,"51,053",,,
Apache,44,,Jan-20,,,"28,734",,,*,161,"9,589",,"12,735",,"51,219",,,
,,,,,,,,,,,,,,,,,,
Cochise,49,,Jul-19,,,"19,323",,,115,553,"28,623",,"24,209",,"72,823",,,
Cochise,49,,Oct-19,,,"19,519",,,117,569,"28,949",,"24,428",,"73,582",,,
Cochise,49,,Jan-20,,,"19,771",,,*,574,"29,507",,"24,868",,"74,720",,,
,,,,,,,,,,,,,,,,,,
Coconino,71,,Jul-19,,,"34,639",,,279,815,"21,869",,"27,564",,"85,166",,,
Coconino,71,,Oct-19,,,"35,546",,,271,835,"22,224",,"28,049",,"86,925",,,
Coconino,71,,Jan-20,,,"35,787",,,*,834,"22,230",,"28,094",,"86,945",,,
,,,,,,,,,,,,,,,,,,
Gila,39,,Jul-19,,,"8,692",,,27,181,"13,405",,"8,185",,"30,490",,,
Gila,39,,Oct-19,,,"8,512",,,31,177,"13,311",,"7,903",,"29,934",,,
Gila,39,,Jan-20,,,"8,664",,,*,178,"13,744",,"8,238",,"30,824",,,
,,,,,,,,,,,,,,,,,,
Graham,22,,Jul-19,,,"5,210",,,12,91,"8,644",,"4,576",,"18,533",,,
Graham,22,,Oct-19,,,"5,259",,,11,97,"8,891",,"4,685",,"18,943",,,
Graham,22,,Jan-20,,,"5,268",,,*,98,"8,999",,"4,771",,"19,136",,,
,,,,,,,,,,,,,,,,,,
Greenlee,8,,Jul-19,,,"1,839",,,3,38,"1,467",,"1,303",,"4,650",,,
Greenlee,8,,Oct-19,,,"1,826",,,3,41,"1,502",,"1,332",,"4,704",,,
Greenlee,8,,Jan-20,,,"1,805",,,*,39,"1,538",,"1,353",,"4,735",,,
,,,,,,,,,,,,,,,,,,
La Paz,11,,Jul-19,,,"2,317",,,14,40,"4,289",,"3,800",,"10,460",,,
La Paz,11,,Oct-19,,,"2,277",,,13,43,"4,235",,"3,723",,"10,291",,,
La Paz,11,,Jan-20,,,"2,290",,,*,44,"4,344",,"3,769",,"10,447",,,
,,,,,,,,,,,,,,,,,,
Maricopa,743,,Jul-19,,,"691,308",,,"3,585","21,445","819,103",,"786,438",,"2,321,879",,,
Maricopa,743,,Oct-19,,,"705,783",,,"3,605","21,674","830,080",,"796,729",,"2,357,871",,,
Maricopa,743,,Jan-20,,,"724,099",,,*,"21,847","840,167",,"811,984",,"2,398,097",,,
,,,,,,,,,,,,,,,,,,
Mohave,24,,Jul-19,,,"20,238",,,135,707,"58,383",,"42,378",,"121,841",,,
Mohave,24,,Oct-19,,,"20,653",,,139,738,"60,318",,"43,130",,"124,978",,,
Mohave,24,,Jan-20,,,"20,427",,,*,721,"60,951",,"42,442",,"124,541",,,
,,,,,,,,,,,,,,,,,,
Navajo,14,,Jul-19,,,"25,066",,,86,388,"22,057",,"17,593",,"65,190",,,
Navajo,14,,Oct-19,,,"25,120",,,82,383,"22,241",,"17,720",,"65,546",,,
Navajo,14,,Jan-20,,,"25,077",,,*,381,"22,408",,"17,918",,"65,784",,,
,,,,,,,,,,,,,,,,,,
Pima,249,,Jul-19,,,"217,058",,,"1,426","4,411","167,553",,"173,563",,"564,011",,,
Pima,249,,Oct-19,,,"220,695",,,"1,380","4,353","168,156",,"174,983",,"569,567",,,
Pima,249,,Jan-20,,,"223,115",,,*,"4,361","168,990",,"177,142",,"573,608",,,
,,,,,,,,,,,,,,,,,,
Pinal,102,,Jul-19,,,"56,162",,,294,"1,602","75,453",,"76,700",,"210,211",,,
Pinal,102,,Oct-19,,,"57,250",,,307,"1,604","77,442",,"77,929",,"214,532",,,
Pinal,102,,Jan-20,,,"58,329",,,*,"1,624","79,631",,"79,429",,"219,013",,,
,,,,,,,,,,,,,,,,,,
Santa Cruz,24,,Jul-19,,,"14,548",,,50,151,"4,759",,"9,542",,"29,050",,,
Santa Cruz,24,,Oct-19,,,"14,628",,,47,154,"4,822",,"9,669",,"29,320",,,
Santa Cruz,24,,Jan-20,,,"13,429",,,*,132,"4,495",,"8,676",,"26,732",,,
,,,,,,,,,,,,,,,,,,
Yavapai,45,,Jul-19,,,"29,603",,,269,"1,073","67,717",,"45,587",,"144,249",,,
Yavapai,45,,Oct-19,,,"30,043",,,268,"1,087","68,849",,"45,694",,"145,941",,,
Yavapai,45,,Jan-20,,,"30,245",,,*,"1,081","69,499",,"45,467",,"146,292",,,
,,,,,,,,,,,,,,,,,,
